?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZP_0100366>	"Delayed otolith formation in utricle."	
<http://purl.obolibrary.org/obo/GO_1902026>		
<http://purl.obolibrary.org/obo/GO_0051450>		
<http://purl.obolibrary.org/obo/ZP_0154988>	"Abnormal(ly) increased occurrence (of) hepatocyte of DNA damage response."	
<http://purl.obolibrary.org/obo/ZP_0103308>	"Abnormal(ly) tapered (of) retinal cone cell of photoreceptor outer segment."	
<http://purl.obolibrary.org/obo/ZP_0002066>	"The presence of a reduced number of slow muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0155039>	"Abnormal(ly) increased occurrence (of) liver of proteasome assembly."	
<http://purl.obolibrary.org/obo/ZP_0108813>	"Abnormal(ly) quality (of) ventral spinal nerve."	
<http://purl.obolibrary.org/obo/ZP_0107994>	"Abnormality of premigratory neural crest."	
<http://purl.obolibrary.org/obo/ZP_0008082>	"Abnormal(ly) aplastic (of) blood island."	
<http://purl.obolibrary.org/obo/ZP_0012746>	"Abnormal(ly) misrouted (of) cranial neural crest."	
<http://purl.obolibrary.org/obo/ZFA_0000660>		
<http://purl.obolibrary.org/obo/ZP_0131171>	"Abnormal(ly) absent (of) migratory neural crest cell of lamellipodium."	
<http://purl.obolibrary.org/obo/ZP_0017112>	"Abnormal(ly) decreased amount (of) pronephric podocyte of cell projection."	
<http://purl.obolibrary.org/obo/ZP_0106648>	"Abnormal(ly) increased amount (of) optic tectum of macrophage."	
<http://purl.obolibrary.org/obo/ZP_0001797>	"Abnormal(ly) increased process quality (of) mesodermal cell fate specification."	
<http://purl.obolibrary.org/obo/ZP_0142263>	"Decreased distance between Meckel's cartilage and ceratohyal bone."	
<http://purl.obolibrary.org/obo/ZP_0108703>	"Abnormal(ly) quality (of) epicardium."	
<http://purl.obolibrary.org/obo/ZP_0022672>	"Abnormal(ly) decreased process quality (of) response to glucose."	
<http://purl.obolibrary.org/obo/ZP_0016921>		
<http://purl.obolibrary.org/obo/ZP_0104394>	"Decreased qualitatively angiogenesis in regenerating tissue."	
<http://purl.obolibrary.org/obo/ZP_0154983>	"Abnormal(ly) normal size (of) trunk of fast muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0148172>	"Abnormal(ly) increased frequency (of) ependymoglial cell of cell division."	
<http://purl.obolibrary.org/obo/ZP_0142482>	"Abnormal(ly) spatial pattern (of) macula of hair cell."	
<http://purl.obolibrary.org/obo/ZP_0003958>	"Abnormal(ly) increased duration (of) mitotic cell cycle, embryonic."	
<http://purl.obolibrary.org/obo/ZP_0156122>	"Abnormal(ly) decreased occurrence (of) intervertebral ligament of cell death."	
<http://purl.obolibrary.org/obo/ZP_0013748>	"Abnormal(ly) morphology (of) posterior lateral line nerve."	
<http://purl.obolibrary.org/obo/ZP_0022998>	"Abnormal location of the cardiac muscle cell in the ventricular myocardium."	
<http://purl.obolibrary.org/obo/ZP_0153589>	"Abnormal(ly) increased area (of) skeletal muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0000741>	"Abnormal(ly) unfused from (of) pronephric glomerulus (pronephric glomerulus)."	
<http://purl.obolibrary.org/obo/ZP_0155976>	"Abnormal(ly) decreased amount (of) regenerating tissue of ito cell."	
<http://purl.obolibrary.org/obo/ZP_0022014>	"Any structural anomaly in the shape of the transverse plane located in skeletal muscle."	
<http://purl.obolibrary.org/obo/ZP_0104624>	"Abnormal(ly) decreased volume (of) central nervous system."	
<http://purl.obolibrary.org/obo/ZP_0109725>	"Abnormality of intervillus pockets."	
<http://purl.obolibrary.org/obo/ZP_0017138>	"An abnormally formed/malformed blastema."	
<http://purl.obolibrary.org/obo/ZP_0016804>	"Abnormal(ly) increased occurrence (of) liver of cholangiocarcinoma."	
<http://purl.obolibrary.org/obo/ZP_0142788>	"Absence of neuromast support cell."	
<http://purl.obolibrary.org/obo/ZP_0010087>	"Delayed pigment accumulation."	
<http://purl.obolibrary.org/obo/ZP_0109825>	"Abnormality of basilar artery."	
<http://purl.obolibrary.org/obo/ZP_0018527>	"Abnormal(ly) disrupted (of) dorsal root ganglion development."	
<http://purl.obolibrary.org/obo/ZP_0110077>	"Abnormal(ly) quality (of) pectoral fin lepidotrichium 6."	
<http://purl.obolibrary.org/obo/GO_0051452>		
<http://purl.obolibrary.org/obo/ZP_0021402>	"Abnormal(ly) has extra parts of type (of) myotome (slow muscle cell)."	
<http://purl.obolibrary.org/obo/ZP_0020293>	"The presence of an increased number of eye."	
<http://purl.obolibrary.org/obo/ZP_0010507>	"Abnormal morphological asymmetry of lateral plate mesoderm (or a set of thereof) across an axis of symmetry."	
<http://purl.obolibrary.org/obo/ZP_0154068>	"Abnormal(ly) disrupted (of) Kupffer's vesicle of cilium assembly."	
<http://purl.obolibrary.org/obo/ZP_0015643>	"Abnormal(ly) undulate (of) anal fin lepidotrichium."	
<http://purl.obolibrary.org/obo/ZP_0145689>	"An abnormal reduction in the volume of the vertebra 2."	
<http://purl.obolibrary.org/obo/ZP_0148048>	"Abnormal(ly) decreased amount (of) hatching gland of secretory granule."	
<http://purl.obolibrary.org/obo/ZP_0017202>	"Abnormal(ly) increased amount (of) gill of NCC ionocyte."	
<http://purl.obolibrary.org/obo/ZP_0011895>	"The presence of an increased number of lepidotrichium segment."	
<http://purl.obolibrary.org/obo/GO_0016667>		
<http://purl.obolibrary.org/obo/ZP_0144730>	"An increased occurrence of calcium ion transport into cytosol in locus coeruleus."	
<http://purl.obolibrary.org/obo/ZP_0022130>	"Abnormal(ly) increased amount (of) female organism of hepatocyte."	
<http://purl.obolibrary.org/obo/ZP_0106826>	"Abnormal(ly) degenerate (of) primary motor neuron."	
<http://purl.obolibrary.org/obo/ZP_0149047>	"Abnormal histone H3 methyltransferase activity."	
<http://purl.obolibrary.org/obo/ZP_0109662>	"Abnormality of entopterygoid-metapterygoid joint."	
<http://purl.obolibrary.org/obo/ZP_0017348>	"Abnormal(ly) displaced (of) interhyoideus."	
